emp_no,first_name,last_name,dept_no,dept_name
16130,Kerryn,Belinskaya,d005,Development
16272,Shuho,Zeleznik,d005,Development
16355,Nikolaos,Luca,d007,Sales
16364,Yifei,Gini,d007,Sales
16447,Zhiguo,Savasere,d005,Development
16448,Tsvetan,Zwicker,d005,Development
16504,Mong,Cromarty,d005,Development
16556,Mostafa,Hiltgen,d005,Development
16608,Boguslaw,Greibach,d005,Development
16716,Ramachenga,Zumaque,d005,Development
16858,Akeno,Gustavson,d007,Sales
16996,Shigenori,Millington,d007,Sales
17046,Fay,Kornyak,d005,Development
17089,Rafail,Erman,d007,Sales
17245,Neven,Milicia,d007,Sales
17329,Shaunak,Tyugu,d005,Development
17352,Muneo,Katiyar,d007,Sales
17355,Mingzeng,Weisert,d005,Development
17512,Frederique,Hofmeyr,d005,Development
17520,Shahab,Keohane,d005,Development
17539,Cathie,Uhrik,d005,Development
17559,Annemarie,Papastamatiou,d005,Development
17582,Kauko,Spieker,d005,Development
17629,Mostafa,Winter,d007,Sales
17647,Vasilis,Swab,d007,Sales
17674,Adib,Braccini,d005,Development
17683,Bernt,Henders,d007,Sales
17711,Owen,Katiyar,d005,Development
17791,Matt,Stifter,d007,Sales
17891,Isaac,Luiz,d005,Development
18006,Vidya,Hanabata,d007,Sales
18013,Jiong,Shanbhogue,d005,Development
18274,Yefim,Karnin,d007,Sales
18323,Oddvar,Tiemann,d005,Development
18468,Kirk,Cunliffe,d005,Development
18673,Ohad,Orlowski,d005,Development
18679,Roded,Lambe,d007,Sales
18775,Shay,Akazan,d005,Development
18786,Guozhong,Veevers,d005,Development
18832,Pasqua,DiGiano,d005,Development
18921,Maren,Radwan,d005,Development
18980,Weiye,Kawashimo,d005,Development
19012,Gal,Panangaden,d007,Sales
19051,Marek,Cappello,d005,Development
19089,Badri,Ellozy,d005,Development
19109,Jenwei,Denis,d007,Sales
19120,Giri,Qiwen,d005,Development
19318,Xianlong,Halevi,d007,Sales
19425,Xuejia,Pettey,d005,Development
19487,Huiqun,Cannane,d005,Development
19488,Maris,Perly,d005,Development
19504,Mingsen,Valtorta,d005,Development
19616,Niranjan,Uchoa,d005,Development
19634,Phuoc,Etalle,d007,Sales
19665,Khalid,Zielinski,d005,Development
19669,Shem,Honiden,d007,Sales
19720,Kwangyoen,Maksimenko,d005,Development
19724,Visit,Hasham,d007,Sales
19728,Candido,Ramsey,d007,Sales
19746,Shiv,Zeidenstein,d007,Sales
19777,Halsur,Ferretti,d007,Sales
19839,Tadahiro,Hempstead,d005,Development
19849,Weicheng,Serre,d007,Sales
19940,Reinhard,Einsfeld,d007,Sales
19955,IEEE,Conry,d007,Sales
19975,Mabry,Geffroy,d005,Development
20059,Pranay,Panwar,d005,Development
20130,Xiaoshan,Picco,d007,Sales
20169,Gil,Zuberek,d005,Development
20284,Monique,Parascandalo,d005,Development
20338,Reinhard,Butner,d007,Sales
20367,Bernt,Takanami,d005,Development
20416,Oddvar,Swiler,d005,Development
20435,Oguz,Homond,d007,Sales
20450,Abdelwaheb,Binkley,d005,Development
20454,Nidapan,Gunderson,d005,Development
20456,Sigeru,Highland,d005,Development
20494,Lucien,Pagter,d007,Sales
20498,Suvo,Gini,d005,Development
20545,Woody,Chaudhury,d007,Sales
20562,Pranay,Riexinger,d005,Development
20666,Shushma,Linares,d005,Development
20693,Yefim,Flasterstein,d005,Development
20708,Aemilian,Arlazarov,d007,Sales
20923,Menkae,Miara,d007,Sales
20928,Menkae,Chinin,d005,Development
21109,Lech,Chenoweth,d005,Development
21165,Mingdong,Pfau,d005,Development
21192,Sajjad,Krohm,d005,Development
21214,Weiru,Angelov,d005,Development
21229,Vasilis,Collavizza,d005,Development
21288,Nechama,Wendorf,d005,Development
21361,Shooichi,Lally,d007,Sales
21537,Boutros,Mitchem,d007,Sales
21547,Fatemeh,Crooks,d005,Development
21642,Shaz,Erman,d005,Development
21643,Yuuichi,Maksimenko,d005,Development
21648,Mayuko,Fandrianto,d007,Sales
21758,Susumu,Picht,d007,Sales
21820,Sanjay,Khasidashvili,d007,Sales
22072,Kasturi,Pettit,d005,Development
22179,Rosine,Garnick,d007,Sales
22234,Arno,Narwekar,d005,Development
22372,Mitchel,Bugrara,d005,Development
22557,Abdulla,Luon,d007,Sales
22593,Danae,Jeansoulin,d007,Sales
22609,Zvonko,Baalen,d007,Sales
22649,Reuven,Driscoll,d005,Development
22688,Sham,Ebeling,d007,Sales
22749,Snehasis,Famili,d005,Development
22783,Takahiro,Beerel,d007,Sales
22855,Shalesh,Thimonier,d005,Development
22860,Taizo,Parascandalo,d007,Sales
22863,Petter,Denna,d007,Sales
22878,JoAnna,Tasistro,d005,Development
22886,Gudjon,Templeman,d005,Development
22910,Shawna,Cummings,d007,Sales
22923,Kristof,Laventhal,d005,Development
22928,Sanjeeva,Angot,d005,Development
22934,Parviz,Plumb,d007,Sales
23068,Eldridge,Brlek,d005,Development
23195,Mark,Ertl,d007,Sales
23211,Subir,Pehl,d007,Sales
23269,Aamer,Szmurlo,d005,Development
23306,Ziva,Falco,d005,Development
23362,Youjian,Yurek,d007,Sales
23384,Branimir,Reinhard,d007,Sales
23398,Georgy,Marwedel,d005,Development
23454,Heejo,Felcyn,d007,Sales
23466,Chikara,Anandan,d005,Development
23505,Yunming,Muchinsky,d007,Sales
23592,Marek,Templeman,d007,Sales
23620,Clyde,Reeker,d007,Sales
23642,Kwangjo,Pusterhofer,d005,Development
23692,Aris,Merey,d005,Development
23761,Jouni,Menhardt,d007,Sales
23777,Juichirou,Kilgore,d005,Development
23783,Nevio,Swan,d005,Development
23791,Boguslaw,Pavlopoulou,d007,Sales
23963,Goo,Soloway,d005,Development
23969,Elgin,Sullins,d005,Development
23998,Amabile,Neimat,d007,Sales
24056,Gladys,Shrader,d007,Sales
24160,Shugo,Kroon,d005,Development
24177,Van,Aumann,d007,Sales
24182,Teunis,Antonisse,d005,Development
24199,Iara,Bach,d005,Development
24256,Salvador,Clemencon,d005,Development
24269,Prodip,Peron,d005,Development
24334,Zhilian,Brookman,d007,Sales
24508,Uzi,Penn,d005,Development
24613,Hitofumi,Stifter,d007,Sales
24680,Garnet,Takkinen,d005,Development
24746,Tianruo,Tsukuda,d007,Sales
24793,Kristen,Brizzi,d007,Sales
24900,Zeljko,Vidya,d005,Development
24937,Syozo,Carrera,d005,Development
24963,Cathie,Redmiles,d005,Development
25052,Geraldo,Scharstein,d005,Development
25108,Wanqing,Eterovic,d005,Development
25112,Muneo,Haraldson,d007,Sales
25145,Serge,Ashish,d005,Development
25220,Shuho,Mullainathan,d005,Development
25435,DeForest,Milicia,d007,Sales
25504,Pramod,Servi,d005,Development
25520,Sajjad,Rubsam,d005,Development
25531,Zhiwei,Domenig,d005,Development
25600,Jinpo,McClurg,d007,Sales
25673,Ottavia,Azulay,d005,Development
25765,Demin,Suermann,d005,Development
25772,Greger,Marrevee,d007,Sales
25790,Suebskul,Plump,d005,Development
25830,Janalee,Janocha,d007,Sales
25972,Demos,Escriba,d005,Development
25979,Monique,Yemenis,d005,Development
26113,Larisa,Brandsma,d007,Sales
26119,Akeno,Vesna,d005,Development
26121,Ipke,Krichel,d005,Development
26252,Haldun,Flowers,d007,Sales
26317,Valdiodio,Weedman,d007,Sales
26344,Duke,Sabnani,d007,Sales
26369,Kiyotoshi,Sewelson,d005,Development
26488,Zdislav,Perly,d007,Sales
26639,Guadalupe,Weiland,d007,Sales
26808,Jeanne,DuCasse,d007,Sales
26811,Prodip,Farrow,d007,Sales
26856,Kazuhiko,Cooke,d005,Development
26955,Elvis,Tanemo,d005,Development
27009,Yakichi,Oehlmann,d005,Development
27056,Leen,Hiyoshi,d007,Sales
27065,Roded,Eugenio,d005,Development
27193,Dulce,Nivat,d005,Development
27221,Syozo,Rosar,d007,Sales
27642,Muneo,Zockler,d005,Development
27654,Sajjan,Morris,d005,Development
27756,Stevo,Suwa,d007,Sales
27772,Shahaf,Salvesen,d007,Sales
27800,Baruch,Sommer,d007,Sales
28128,Huican,Slaats,d007,Sales
28171,Filipe,Setlzner,d005,Development
28366,Abdelwaheb,Falster,d005,Development
28447,Anneke,Ghelli,d005,Development
28579,Naraig,Rehfuss,d005,Development
28653,Pranay,Flanders,d007,Sales
28689,Jessie,Lores,d007,Sales
28739,Elliott,Wixon,d007,Sales
28750,Guangming,Speckmann,d007,Sales
28993,Domenick,Rijckaert,d005,Development
29032,Mizuhito,Rassart,d005,Development
29059,Arumugam,Legleitner,d005,Development
29080,Panayotis,Shumilov,d007,Sales
29101,Jouni,Salverda,d005,Development
29133,Rafael,Peck,d007,Sales
29419,Kendra,Scharstein,d005,Development
29469,Rafael,Cmelik,d005,Development
29507,Adel,Panwar,d005,Development
29515,Kish,Karcich,d005,Development
29597,Yoshinari,Codenie,d005,Development
29623,Heekeun,Stille,d005,Development
29948,Elzbieta,Kruskal,d005,Development
30062,Phuoc,Ertl,d005,Development
30083,Wanqing,Burnard,d005,Development
30101,Berni,Olano,d005,Development
30106,Zeljko,Yamaashi,d005,Development
30107,Sungwon,Reinhard,d005,Development
30189,Krisda,Koblick,d005,Development
30209,Yannis,Aloisi,d007,Sales
30351,Djenana,Blokdijk,d007,Sales
30374,Xiaocheng,Reinhart,d005,Development
30419,Peer,Kulisch,d005,Development
30466,Sumant,Giaccio,d007,Sales
30479,Shigenori,Kampfer,d005,Development
30530,LiMin,McFarlan,d005,Development
30571,Ziva,Bonifati,d005,Development
30666,Guadalupe,Clemencon,d005,Development
30748,Katsuyuki,Uchoa,d007,Sales
30846,Nidapan,Montresor,d005,Development
30856,Chaosheng,Lampe,d005,Development
30936,Rosalyn,Attimonelli,d005,Development
31019,Arve,Junot,d005,Development
31058,Abdulah,Frezza,d005,Development
31127,Mizuhito,Puppo,d007,Sales
31193,Ranan,Stranks,d005,Development
31390,Fei,Liedekerke,d005,Development
31407,Chaosheng,Vernadat,d007,Sales
31456,Tamiya,Rajcani,d005,Development
31557,Denny,Kalafatis,d007,Sales
31702,Florian,Isard,d007,Sales
31864,Zhenbing,Bahl,d005,Development
32027,Mong,Sidhu,d007,Sales
32174,Mohua,Kaltofen,d005,Development
32193,Margareta,Szmurlo,d007,Sales
32261,Bernt,Dehkordi,d005,Development
32303,Bodh,Merli,d007,Sales
32344,Lillian,Takanami,d005,Development
32455,Lokesh,Brlek,d005,Development
32596,Naftaly,Gelosh,d005,Development
32626,Ulf,Ambroszkiewicz,d005,Development
32689,Gladys,Heusch,d007,Sales
32778,Branimir,Conde,d005,Development
32835,Wanqing,Thambidurai,d005,Development
32928,Shigeu,Kalloufi,d007,Sales
33008,Keiichiro,Birnbaum,d007,Sales
33018,Christophe,Baer,d005,Development
33085,Kristinn,Jullig,d005,Development
33402,Leni,Carrere,d005,Development
33518,Perla,Birsak,d005,Development
33535,Venkatesan,Assaf,d005,Development
33579,Guozhong,Eickenmeyer,d007,Sales
33655,Zvonko,Lovengreen,d005,Development
33665,Xumin,Zyda,d005,Development
33696,Danny,Famili,d005,Development
33698,Mohan,Dalton,d007,Sales
33715,Armond,Wynblatt,d007,Sales
33787,Malu,Kriebel,d005,Development
33812,Patricio,Basawa,d007,Sales
34070,Sivanarayana,Champarnaud,d005,Development
34082,Yechiam,Jakobus,d005,Development
34129,Takanari,Kolinko,d005,Development
34150,Leen,Miculan,d007,Sales
34158,Mohammed,Syrotiuk,d007,Sales
34180,Ger,McClure,d005,Development
34184,Shiv,Klassen,d005,Development
34202,Rafail,Stroustrup,d005,Development
34377,Hidde,Menhoudj,d005,Development
34538,Pranjal,Rossi,d005,Development
34605,Arunachalam,Middleton,d005,Development
34754,Maren,Llado,d007,Sales
34805,Marek,Siksek,d005,Development
34831,Poornachandra,Haldar,d007,Sales
34857,Weicheng,Birrer,d005,Development
34928,Anwar,Flexer,d005,Development
34999,Shim,Narwekar,d005,Development
35046,Sachem,Luders,d007,Sales
35096,Gaetan,Olivero,d005,Development
35138,Susuma,Boreale,d005,Development
35142,Conor,Uhrig,d005,Development
35226,Byong,Felcyn,d005,Development
35248,Tua,Passafiume,d007,Sales
35273,Zsolt,Mitsuhashi,d007,Sales
35541,Wojceich,Azadmanesh,d005,Development
35558,Kshitij,Staudhammer,d007,Sales
35609,Vidya,Decaestecker,d005,Development
35667,Hyuckchul,Srimani,d005,Development
35686,Nectarios,Crouzet,d007,Sales
35706,Gererd,Schwabacher,d005,Development
35830,Magy,McFarlan,d005,Development
35867,Sumant,Henseler,d005,Development
35916,Wonhee,Talmon,d005,Development
35947,Deborah,Keohane,d005,Development
36055,Changho,Rubsam,d007,Sales
36081,Premsyl,Biron,d005,Development
36085,King,Schwabacher,d007,Sales
36323,Gad,Nourani,d005,Development
36355,Aleksandar,Alblas,d005,Development
36448,Pantung,Billawala,d007,Sales
36491,Margareta,Luon,d005,Development
36500,Sachin,Picci,d005,Development
36555,Takahiro,Rothenberg,d007,Sales
36585,Menkae,Aamodt,d007,Sales
36620,Arno,Itzigehl,d007,Sales
36633,Yonghong,Lortz,d007,Sales
36760,Fumiyo,Norsworthy,d005,Development
36761,Zeljko,Hinsberger,d005,Development
36795,Nidapan,Einsfeld,d007,Sales
36819,Tadahiro,Parveen,d007,Sales
36870,Jianhao,Luff,d005,Development
36877,Shahaf,Ranst,d007,Sales
36998,Phule,Maliniak,d007,Sales
37048,Fai,Eldridge,d005,Development
37101,Jaewon,Pappas,d007,Sales
37120,Kasidit,Masada,d005,Development
37151,Leaf,Biros,d005,Development
37265,Bokyung,Ellozy,d005,Development
37318,Alejandro,Isard,d007,Sales
37407,Danae,Cochrane,d005,Development
37674,Vitali,Sinitsyn,d007,Sales
37717,Arunachalam,Lichtman,d007,Sales
37832,Jaber,Choobineh,d005,Development
37882,Alexius,Mellouli,d007,Sales
37910,Kwangyoen,Danley,d005,Development
37977,Nahid,Scallan,d007,Sales
38128,Udo,Gajiwala,d005,Development
38139,Dmitry,Oaver,d005,Development
38159,Ashish,McAffer,d005,Development
38211,Franziska,Colorni,d005,Development
38269,Shawna,Vendrig,d005,Development
38453,Rafael,Perfilyeva,d005,Development
38517,Ult,Farrow,d005,Development
38581,Shan,Gornas,d005,Development
38608,Florian,Journel,d005,Development
38677,Teiji,Trumbly,d007,Sales
38740,Michaela,Matzat,d007,Sales
38942,Danco,Xiaoshan,d007,Sales
39018,Irena,Harllee,d005,Development
39055,Remko,Varman,d005,Development
39188,Apostol,Bresenham,d005,Development
39321,Arie,Wilfing,d005,Development
39323,Zita,Ratnaker,d005,Development
39444,Huican,Majewski,d007,Sales
39526,Sadok,Rouquie,d005,Development
39631,Jiafu,Simmel,d007,Sales
39648,Gad,Lanphier,d007,Sales
39656,Annemarie,Nannarelli,d007,Sales
39712,Chirstian,Muchinsky,d007,Sales
39756,Dmitri,Litecky,d007,Sales
39880,Turgut,Karunanithi,d007,Sales
39890,Sanjai,Valiente,d007,Sales
39909,Nectarios,Ozeki,d007,Sales
39917,Guoxiang,Besselaar,d005,Development
39966,Utpal,Beidas,d007,Sales
39971,Odoardo,Antonisse,d007,Sales
40035,Anyuan,Kleiser,d007,Sales
40057,Ghassan,Kalloufi,d007,Sales
40156,Dhritiman,Cooman,d007,Sales
40161,Premsyl,Guardalben,d005,Development
40205,Genevieve,Provine,d005,Development
40225,Shakhar,Schieder,d007,Sales
40389,Mong,Kobuchi,d007,Sales
40432,Leucio,Linnainmaa,d007,Sales
40455,Weidon,Rubsam,d007,Sales
40486,Leen,Kopetz,d005,Development
40639,Goo,Schnabel,d007,Sales
40672,Yinlin,Pfau,d005,Development
40696,Torsten,Siprelle,d005,Development
40764,Shuky,Senzako,d007,Sales
40802,Baocai,Ecklund,d005,Development
40829,Jianhui,Mitzlaff,d007,Sales
41001,Kensei,Flowers,d005,Development
41122,Guenter,Hoppenstand,d007,Sales
41140,Tonny,Bail,d007,Sales
41239,Malu,Rajaraman,d007,Sales
41265,Torsten,Poulakidas,d007,Sales
41292,Premsyl,Thombley,d005,Development
41298,Elvia,Cesareni,d007,Sales
41313,Gino,Nitto,d005,Development
41410,Kwangho,Munch,d007,Sales
41441,Pasqua,Shigei,d005,Development
41583,Holgard,Thorensen,d005,Development
41665,Juyoung,Denos,d005,Development
41667,Barna,Facello,d005,Development
41746,Zita,Greenaway,d005,Development
41871,Stevo,Waeselynck,d005,Development
42033,Reuven,Compeau,d005,Development
42184,Prasadram,Kusalik,d005,Development
42239,Elvis,Servieres,d005,Development
42286,Yannik,Heering,d005,Development
42371,Pragnesh,Mersereau,d007,Sales
42516,Larisa,Berstel,d005,Development
42590,Basim,Billawala,d005,Development
42681,Radhakrishnan,Molenkamp,d005,Development
42933,Zhiwei,Pleszkun,d005,Development
42936,Chuanti,Nitsche,d007,Sales
43038,Chaoyi,Nooteboom,d007,Sales
43040,Ulises,Nittel,d007,Sales
43241,Adam,Kisuki,d007,Sales
43300,Francesca,Aseltine,d005,Development
43306,Frederique,Zweizig,d005,Development
43318,Rasikan,Boyle,d005,Development
43387,Fuqing,Syang,d007,Sales
43417,Yolla,Hutton,d005,Development
43438,Sampalli,Zultner,d007,Sales
43482,Jiann,Pauthner,d007,Sales
43487,Kristof,Ducloy,d007,Sales
43745,Temple,Thambidurai,d007,Sales
43756,Minghong,Himler,d007,Sales
43946,Kankanahalli,Swist,d005,Development
44009,Sudharsan,Quadeer,d005,Development
44042,Susuma,Ladret,d007,Sales
44165,Greger,Heuser,d005,Development
44178,Jackson,Schmezko,d007,Sales
44186,Kendra,Vesel,d007,Sales
44292,Alexius,Georg,d005,Development
44334,Lidong,Baezner,d005,Development
44454,Toshimo,Besancenot,d007,Sales
44539,Kwangjo,Buchter,d007,Sales
44622,Maris,Zykh,d005,Development
44682,Souichi,Boissier,d007,Sales
44691,Munir,Montresor,d007,Sales
44734,Shay,Vandervoorde,d005,Development
44737,Vishu,Juneja,d005,Development
44740,Georg,Uhrik,d005,Development
44938,Valdiodio,Potthoff,d007,Sales
44954,Adhemar,Nitta,d005,Development
45138,Miomir,Karcich,d007,Sales
45200,Teunis,Chvatal,d005,Development
45204,Alexius,Candan,d005,Development
45216,Gou,Ballarin,d005,Development
45232,Chaosheng,Senzako,d005,Development
45256,Berry,Puppo,d007,Sales
45331,Keung,Peot,d005,Development
45333,Leszek,Waeselynck,d005,Development
45390,Sedat,Alameldin,d007,Sales
45432,Richard,Barreiro,d007,Sales
45534,Perla,Jullig,d007,Sales
45657,Jianhao,Hedayat,d005,Development
45695,Danco,Kowalchuk,d005,Development
46028,Sakthirel,Emmerich,d007,Sales
46090,Iara,Whittlesey,d005,Development
46260,Tze,Karlin,d005,Development
46266,Kiam,Carrera,d005,Development
46281,Rosine,Berztiss,d005,Development
46318,Susumu,Vieth,d005,Development
46425,Martina,Leivant,d005,Development
46457,Alenka,Keohane,d005,Development
46562,Tiina,Panangaden,d005,Development
46587,Macha,Baaleh,d007,Sales
46603,Tesuya,Miara,d007,Sales
46622,Filipp,Krzyzanowski,d005,Development
46683,Ger,Wynblatt,d007,Sales
46685,Valter,Takanami,d005,Development
46773,Vojin,Parveen,d005,Development
46984,Pascal,Kandlur,d005,Development
47008,Radhika,Narlikar,d005,Development
47013,Kerhong,Straney,d005,Development
47022,Mostafa,Terlouw,d007,Sales
47056,Parto,Marciano,d007,Sales
47061,Kinh,Servi,d007,Sales
47094,Leni,Shimshoni,d005,Development
47215,Zhenbing,Swen,d005,Development
47226,Limsoon,Lammel,d005,Development
47265,Chikako,Birke,d007,Sales
47286,Yinlin,Kamble,d007,Sales
47288,Nishit,Ratnaker,d007,Sales
47446,Werner,Matzke,d005,Development
47497,Uzi,Biran,d005,Development
47737,Kensei,Speek,d005,Development
47764,Nadjib,Demri,d007,Sales
47770,Conrado,Sridhar,d007,Sales
47794,Jordanka,Zastre,d005,Development
47821,Raimond,Mitina,d005,Development
47852,Anyuan,Basart,d005,Development
47930,Apostol,Coors,d005,Development
47958,Jaques,Tibblin,d005,Development
48028,Steve,Bach,d005,Development
48161,Khalid,Gustavson,d005,Development
48233,Ugo,Simmel,d007,Sales
48243,Juyoung,Riesenhuber,d005,Development
48254,Chenyi,Gomatam,d005,Development
48379,Yuichiro,Boudaillier,d005,Development
48412,Aimee,Melski,d007,Sales
48444,Jeanne,Heuter,d005,Development
48503,Pranas,Gammage,d005,Development
48602,Seongbae,Matheson,d005,Development
48632,Mingsen,Butterworth,d005,Development
48672,Mantis,Servi,d007,Sales
48696,Irena,Giarratana,d007,Sales
48970,Kazuhito,Collette,d007,Sales
49053,Gila,Plumb,d005,Development
49077,Kasturi,Siprelle,d007,Sales
49096,Christoper,Picel,d007,Sales
49130,Pohua,Bage,d005,Development
49194,Nigel,Plesums,d007,Sales
49227,Anestis,Clouatre,d007,Sales
49262,Willard,Fairtlough,d007,Sales
49264,Hsiangchu,Landherr,d005,Development
49335,Gunilla,Breugel,d007,Sales
49551,Dipankar,Ponthieu,d005,Development
49624,Falguni,Mitsuhashi,d005,Development
49667,Sakthirel,Pashtan,d007,Sales
49682,Toshimori,Murtha,d007,Sales
49715,Shunichi,Lieblein,d005,Development
49930,Girolamo,Conte,d007,Sales
49940,Anyuan,Wallrath,d005,Development
50019,Aloke,Neiman,d005,Development
50093,Irene,Improta,d005,Development
50204,Mayuko,Beutelspacher,d007,Sales
50234,Abdelkader,Felder,d005,Development
50268,Danil,Borovoy,d007,Sales
50369,Shmuel,Gils,d007,Sales
50375,Tiina,Kampfer,d007,Sales
50437,Maha,Beilner,d005,Development
50588,Ghassan,Swan,d007,Sales
50750,Kristen,DasSarma,d005,Development
50906,Djenana,Ibel,d007,Sales
50953,Adhemar,Fiebach,d005,Development
50983,Hironobu,Grandbois,d007,Sales
51082,Patricio,Kobara,d005,Development
51126,Gully,Zirintsis,d007,Sales
51299,Demos,McClure,d005,Development
51323,Yannis,Stanger,d007,Sales
51331,Jackson,Pusterhofer,d007,Sales
51400,KayLiang,Luca,d007,Sales
51501,Mikhail,Range,d005,Development
51548,Freyja,Rahimi,d005,Development
51590,Ung,Sudbeck,d007,Sales
51616,Rafail,Rassart,d007,Sales
51619,Kensei,Birke,d005,Development
51863,Idoia,Bennis,d005,Development
51994,Shigehito,Pluym,d007,Sales
51995,Zhongwei,Roccetti,d007,Sales
52015,Zeljko,Raoux,d005,Development
52054,Margo,Rubsam,d005,Development
52144,Gad,Hoogerwoord,d005,Development
52185,Zvonko,Luders,d005,Development
52271,Nikolaus,Schaft,d007,Sales
52310,Yongmin,Flexer,d007,Sales
52343,Zhaofang,Escriba,d005,Development
52348,Junsik,Radwan,d007,Sales
52355,Arto,Merkl,d005,Development
52356,Kazuhira,Swist,d007,Sales
52411,Elvis,Alpin,d005,Development
52420,Badri,Pramanik,d007,Sales
52557,Aruna,Kalsbeek,d005,Development
52564,Shuky,Chenoweth,d005,Development
52593,Shridhar,Lichtman,d007,Sales
52698,Magdalena,Mersereau,d005,Development
52726,Samphel,Tagansky,d005,Development
52746,Ingmar,Neimat,d005,Development
52773,Shounak,Rissland,d007,Sales
52897,Arnd,Isaac,d005,Development
52951,Hauke,Solares,d007,Sales
52964,Dmitri,Grandbois,d005,Development
53012,Yongdong,Muchinsky,d007,Sales
53103,Nechama,Molenkamp,d007,Sales
53154,Chaosheng,Akazan,d005,Development
53217,Shem,Heystek,d005,Development
53426,Masadi,Azadmanesh,d007,Sales
53459,Salvador,Berstel,d007,Sales
53539,Sangeeta,Mansanne,d005,Development
53679,Aleksandar,Litzkow,d007,Sales
53712,Hidde,Bauknecht,d005,Development
53775,Maya,Peternell,d005,Development
53947,Shooichi,Henseler,d005,Development
53977,Alper,Unno,d007,Sales
54044,Yuuichi,Muhling,d007,Sales
54110,Subir,Rotem,d007,Sales
54216,Lech,Driscoll,d005,Development
54226,Chinya,Michaeli,d005,Development
54254,Jianwen,Ramsey,d005,Development
54425,Goncalo,Jarecki,d007,Sales
54918,Volkmar,Malinowski,d005,Development
54963,Toshiko,Bellmore,d005,Development
55139,Nigel,Sommer,d005,Development
55273,Chiranjit,Zockler,d007,Sales
55281,Mohammad,Ellozy,d005,Development
